Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes,,,Agrabacion Syntax
98,20-Jul-23,CAH,6:40,TF,TF18,HEGR5,98_TF_HEGR5_ZOOM0040,18,205,,,,
99,20-Jul-23,CAH,6:59,TF,TF19,TUOC2,99_TF_TUOC2_ZOOM0041,19,160,,,,
100,20-Jul-23,GX,7:20,TF,TF7,PLCO2,100_TF_PLCO2_ZOOM0200,21.2,246,,,,
101,20-Jul-23,CAH,7:23,TF,TF37,MYLO5,101_TF_MYLO5_ZOOM0042,19,0,,,,
102,20-Jul-23,GX,7:40,TF,TF4,MYSC1,102_TF_MYSC1_ZOOM0201,20.6,236,,,,
103,20-Jul-23,CAH,8:01,TF,TF16,LECO7,103_TF_LECO7_ZOOM0044,20,326,,,,
104,22-Jul-23,CAH,6:32,TF,TF22,HEGR2,104_TF_HEGR2_ZOOM0052,22,336,,,,
105,22-Jul-23,GX,6:37,TF,TF40,HARU6,105_TF_HARU6_ZOOM0208,23.6,208,,,,
106,2-Aug-23,GX,6:32,TF,TF39,PLCO8,106_TF_PLCO8_ZOOM0252,,220,,,,
107,22-Jul-23,CAH,7:03,TF,TF25,TUOC8,107_TF_TUOC8_ZOOM0053,21,50,,,,
108,22-Jul-23,GX,7:34,TF,TF6,LECO5,108_TF_LECO5_ZOOM0211,22.3,216,,,,
109,22-Jul-23,CAH,7:35,TF,TF23,THAR8,109_TF_THAR8_ZOOM0055,22,226,,,,
110,22-Jul-23,CAH,7:55,TF,TF24,PLCO7,110_TF_PLCO7_ZOOM0056,22,210,,,,
111,22-Jul-23,GX,8:06,TF,TF10,MYSC3,111_TF_MYSC3_ZOOM0213,23.2,269,,,,
112,22-Jul-23,CAH,8:18,TF,TF26,LAHY5,112_TF_LAHY5_ZOOM0057,23,352,,,,
113,25-Jul-23,GX,6:30,TF,TF36,MOMO6,113_TF_MOMO6_ZOOM0218,24,90,,,,
114,25-Jul-23,GX,7:06,TF,TF34,LAHY1,114_TF_LAHY1_ZOOM0220,24,253,,,,
115,25-Jul-23,CAH,7:12,TF,TF37,LECO4,115_TF_LECO4_ZOOM0063,24,17,,,,
116,25-Jul-23,GX,7:29,TF,TF34,TUOC5,116_TF_TUOC5_ZOOM0221,24.1,310,,,,
117,25-Jul-23,CAH,7:31,TF,TF38,MYSC2,117_TF_MYLO6_ZOOM0064,24,290,,,,
118,25-Jul-23,GX,7:52,TF,TF21,MSF5,118_TF_MSF5_ZOOM0222,24.1,288,,,,
119,6-Aug-23,GX,6:49,TF,TF17,LECO6,119_TF_LECO6_ZOOM0266,,160,,,,
120,25-Jul-23,CAH,8:17,TF,TF16,MYLO6,120_TF_MYLO6_ZOOM0066,24,330,,,,
121,28-Jul-23,CAH,6:30,TF,TF33,MOMO7,121_TF_MOMO7_ZOOM0073,22,84,,,,
122,28-Jul-23,GX,6:43,TF,TF25,LAHY6,122_TF_LAHY6_ZOOM0229,,72,,,,
123,28-Jul-23,CAH,6:48,TF,TF34,HARU1,123_TF_HARU1_ZOOM0074,22,234,,,,
124,28-Jul-23,GX,7:08,TF,TF24,MYLO8,124_TF_MYLO8_ZOOM0230,,212,,,,
125,28-Jul-23,GX,7:29,TF,TF23,PLCO3,125_TF_PLCO3_ZOOM0231,,253,,,,
126,28-Jul-23,CAH,7:44,TF,TF35,HEGR3,126_TF_HEGR3_ZOOM0077,22,238,,,,
127,28-Jul-23,GX,7:57,TF,TF22,MYSC7,127_TF_MYSC7_ZOOM0233,,213,,,,
128,28-Jul-23,GX,8:30,TF,TF26,THAR5,128_TF_THAR5_ZOOM0234,,212,,,,
129,31-Jul-23,CAH,6:31,TF,TF38,LAHY8,129_TF_LAHY8_ZOOM0083,20,313,,,,
130,31-Jul-23,CAH,6:56,TF,TF17,THAR4,130_TF_THAR4_ZOOM0084,20,150,,,,
131,31-Jul-23,GX,7:19,TF,TF39,MYLO7,131_TF_MYLO7_ZOOOM0242,,174,,,,
132,31-Jul-23,GX,7:46,TF,TF5,MOMO5,132_TF_MOMO5_ZOOOM0243,,280,,,,
133,31-Jul-23,GX,8:05,TF,TF6,TUOC1,133_TF_TUOC1_ZOOOM0244,,216,,,,
134,31-Jul-23,GX,8:29,TF,TF40,HEGR8,134_TF_HEGR8_ZOOOM0245,,240,,,,
135,2-Aug-23,CAH,6:30,TF,TF35,MYSC5,135_TF_MYSC5_ZOOM0093,20,260,,,,
136,1-Aug-23,GX,7:32,TF,TF7,THAR7,136_TF_THAR7_ZOOM0253,,246,,,,
137,2-Aug-23,CAH,7:43,TF,TF36,HARU8,137_TF_HARU8_ZOOM0095,20,250,,,,
138,1-Aug-23,GX,7:57,TF,TF10,MOMO3,138_TF_MOMO3_ZOOM0254,,284,,,,
138,1-Aug-23,GX,7:57,TF,TF10,MOMO3,138_TF_MOMO3_ZOOM0255,,284,Continued of before,,,
139,2-Aug-23,CAH,8:18,TF,TF18,TUOC7,139_TF_TUOC7_ZOOM0096,21,212,,,,
140,3-Aug-23,CAH,8:14,TF,TF5,HARU5,140_TF_HARU5_ZOOM0100,23,227,,,,
