"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
13,"TF29","MSFSOLO","MYLO1","PRE","RHSIM","RHSIM1",50
13,"TF29","MSFSOLO","MYLO1","PRE","LEAMA","LEAMA1",15
13,"TF29","MSFSOLO","MYLO1","PRE","MYMYO","MYMYO1",50
13,"TF29","MSFSOLO","MYLO1","PRE","MYMYO","MYMYO2",50
13,"TF29","MSFSOLO","MYLO1","PRE","TRMEL","TRMEL1",50
13,"TF29","MSFSOLO","MYLO1","PRE","PLPLA","PLPLA1",15
13,"TF29","MSFSOLO","MYLO1","PRE","TRCOL","TRCOL1",40
13,"TF29","MSFSOLO","MYLO1","PRE","ATSPA","ATSPA2",40
13,"TF29","MSFSOLO","MYLO1","PRE","WIPOE","WIPOE1",20
13,"TF29","MSFSOLO","MYLO1","PRE","PAHYP","PAHYP1",15
13,"TF29","MSFSOLO","MYLO1","POST","PHHIS","PHHIS1",5
13,"TF29","MSFSOLO","MYLO1","POST","UKCAN","UKCAN1",5
13,"TF29","MSFSOLO","MYLO1","POST","MYGAI","MYGAI1",5
13,"TF29","MSFSOLO","MYLO1","POST","PAMIN","PAMIN1",10
13,"TF29","MSFSOLO","MYLO1","POST","CECIN","CECIN1",15
13,"TF29","MSFSOLO","MYLO1","POST","RHSIM","RHSIM1",40
13,"TF29","MSFSOLO","MYLO1","POST","MYMYO","MYMYO1",50
13,"TF29","MSFSOLO","MYLO1","POST","MYMYO","MYMYO2",50
13,"TF29","MSFSOLO","MYLO1","POST","THSCH","THSCH1",15
13,"TF29","MSFSOLO","MYLO1","POST","THSCH","THSCH2",15
13,"TF29","MSFSOLO","MYLO1","POST","CECIN","CECIN2",15
13,"TF29","MSFSOLO","MYLO1","POST","LEAMA","LEAMA1",15
13,"TF29","MSFSOLO","MYLO1","POST","WIPOE","WIPOE1",10
13,"TF29","MSFSOLO","MYLO1","POST","MYGAI","MYGAI2",10
13,"TF29","MSFSOLO","MYLO1","POST","TRMEL","TRMEL1",50
14,"TF27","NF","NF2","PRE","HAFOR","HAFOR1",50
14,"TF27","NF","NF2","PRE","MYMYO","MYMYO1",50
14,"TF27","NF","NF2","PRE","WIPOE","WIPOE1",10
14,"TF27","NF","NF2","PRE","AUOCH","AUOCH1",50
14,"TF27","NF","NF2","PRE","AKGOE","AKGOE1",30
14,"TF27","NF","NF2","PRE","MONIG","MONIG1",50
14,"TF27","NF","NF2","PRE","HEGRI","HEGRI1",40
14,"TF27","NF","NF2","PRE","LAHYP","LAHYP1",50
14,"TF27","NF","NF2","PRE","MYMYO","MYMYO2",40
14,"TF27","NF","NF2","POST","AKGOE","AKGOE1",30
14,"TF27","NF","NF2","POST","LECOR","LECOR1",5
